line 0: me: X, them: C me: Rock, them: Scissors value: 7
line 974: me: X, them: A me: Rock, them: Rock value: 4
line 975: me: Z, them: C me: Scissors, them: Scissors value: 6
line 976: me: Y, them: B me: Paper, them: Paper value: 5
line 977: me: X, them: B me: Rock, them: Paper value: 1
line 978: me: X, them: C me: Rock, them: Scissors value: 7
line 979: me: X, them: C me: Rock, them: Scissors value: 7
line 980: me: X, them: C me: Rock, them: Scissors value: 7
line 981: me: Z, them: C me: Scissors, them: Scissors value: 6
line 982: me: Z, them: A me: Scissors, them: Rock value: 3
line 983: me: Y, them: B me: Paper, them: Paper value: 5
line 984: me: Y, them: A me: Paper, them: Rock value: 8
line 985: me: Y, them: B me: Paper, them: Paper value: 5
line 986: me: X, them: B me: Rock, them: Paper value: 1
line 987: me: Y, them: B me: Paper, them: Paper value: 5
line 988: me: Y, them: B me: Paper, them: Paper value: 5
line 989: me: Z, them: A me: Scissors, them: Rock value: 3
line 990: me: Y, them: B me: Paper, them: Paper value: 5
line 991: me: Y, them: B me: Paper, them: Paper value: 5
line 992: me: Y, them: B me: Paper, them: Paper value: 5
line 993: me: Z, them: C me: Scissors, them: Scissors value: 6
line 994: me: X, them: C me: Rock, them: Scissors value: 7
line 995: me: Z, them: A me: Scissors, them: Rock value: 3
line 996: me: X, them: A me: Rock, them: Rock value: 4
line 997: me: Z, them: B me: Scissors, them: Paper value: 9
line 998: me: X, them: C me: Rock, them: Scissors value: 7
line 999: me: X, them: C me: Rock, them: Scissors value: 7
line 1000: me: X, them: C me: Rock, them: Scissors value: 7
line 1001: me: X, them: C me: Rock, them: Scissors value: 7
line 1002: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1003: me: Z, them: A me: Scissors, them: Rock value: 3
line 1004: me: Y, them: B me: Paper, them: Paper value: 5
line 1005: me: Z, them: A me: Scissors, them: Rock value: 3
line 1006: me: Y, them: B me: Paper, them: Paper value: 5
line 1007: me: X, them: C me: Rock, them: Scissors value: 7
line 1008: me: Z, them: A me: Scissors, them: Rock value: 3
line 1009: me: Y, them: A me: Paper, them: Rock value: 8
line 1010: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1011: me: X, them: C me: Rock, them: Scissors value: 7
line 1012: me: X, them: B me: Rock, them: Paper value: 1
line 1013: me: Z, them: A me: Scissors, them: Rock value: 3
line 1014: me: Y, them: B me: Paper, them: Paper value: 5
line 1015: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1016: me: Z, them: A me: Scissors, them: Rock value: 3
line 1017: me: X, them: C me: Rock, them: Scissors value: 7
line 1018: me: Z, them: A me: Scissors, them: Rock value: 3
line 1019: me: Y, them: A me: Paper, them: Rock value: 8
line 1020: me: Y, them: B me: Paper, them: Paper value: 5
line 1021: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1022: me: Y, them: B me: Paper, them: Paper value: 5
line 1023: me: X, them: C me: Rock, them: Scissors value: 7
line 1024: me: Z, them: A me: Scissors, them: Rock value: 3
line 1025: me: Z, them: A me: Scissors, them: Rock value: 3
line 1026: me: X, them: A me: Rock, them: Rock value: 4
line 1027: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1028: me: X, them: C me: Rock, them: Scissors value: 7
line 1029: me: Y, them: A me: Paper, them: Rock value: 8
line 1030: me: Y, them: B me: Paper, them: Paper value: 5
line 1031: me: X, them: B me: Rock, them: Paper value: 1
line 1032: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1033: me: Z, them: A me: Scissors, them: Rock value: 3
line 1034: me: X, them: C me: Rock, them: Scissors value: 7
line 1035: me: X, them: B me: Rock, them: Paper value: 1
line 1036: me: Y, them: B me: Paper, them: Paper value: 5
line 1037: me: Z, them: A me: Scissors, them: Rock value: 3
line 1038: me: X, them: C me: Rock, them: Scissors value: 7
line 1039: me: Y, them: B me: Paper, them: Paper value: 5
line 1040: me: X, them: C me: Rock, them: Scissors value: 7
line 1041: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1042: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1043: me: Y, them: B me: Paper, them: Paper value: 5
line 1044: me: Z, them: A me: Scissors, them: Rock value: 3
line 1045: me: Y, them: A me: Paper, them: Rock value: 8
line 1046: me: X, them: C me: Rock, them: Scissors value: 7
line 1047: me: Y, them: B me: Paper, them: Paper value: 5
line 1048: me: X, them: C me: Rock, them: Scissors value: 7
line 1049: me: X, them: C me: Rock, them: Scissors value: 7
line 1050: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1051: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1052: me: X, them: C me: Rock, them: Scissors value: 7
line 1053: me: X, them: A me: Rock, them: Rock value: 4
line 1054: me: X, them: C me: Rock, them: Scissors value: 7
line 1055: me: Z, them: A me: Scissors, them: Rock value: 3
line 1056: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1057: me: X, them: B me: Rock, them: Paper value: 1
line 1058: me: X, them: B me: Rock, them: Paper value: 1
line 1059: me: X, them: C me: Rock, them: Scissors value: 7
line 1060: me: X, them: B me: Rock, them: Paper value: 1
line 1061: me: Y, them: B me: Paper, them: Paper value: 5
line 1062: me: X, them: C me: Rock, them: Scissors value: 7
line 1063: me: X, them: C me: Rock, them: Scissors value: 7
line 1064: me: Y, them: A me: Paper, them: Rock value: 8
line 1065: me: Y, them: B me: Paper, them: Paper value: 5
line 1066: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1067: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1068: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1069: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1070: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1071: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1072: me: Z, them: A me: Scissors, them: Rock value: 3
line 1073: me: X, them: B me: Rock, them: Paper value: 1
line 1074: me: X, them: C me: Rock, them: Scissors value: 7
line 1075: me: Y, them: B me: Paper, them: Paper value: 5
line 1076: me: Y, them: B me: Paper, them: Paper value: 5
line 1077: me: X, them: C me: Rock, them: Scissors value: 7
line 1078: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1079: me: Z, them: A me: Scissors, them: Rock value: 3
line 1080: me: X, them: C me: Rock, them: Scissors value: 7
line 1081: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1082: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1083: me: X, them: C me: Rock, them: Scissors value: 7
line 1084: me: Z, them: A me: Scissors, them: Rock value: 3
line 1085: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1086: me: Z, them: A me: Scissors, them: Rock value: 3
line 1087: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1088: me: Y, them: A me: Paper, them: Rock value: 8
line 1089: me: X, them: C me: Rock, them: Scissors value: 7
line 1090: me: X, them: C me: Rock, them: Scissors value: 7
line 1091: me: Y, them: B me: Paper, them: Paper value: 5
line 1092: me: X, them: C me: Rock, them: Scissors value: 7
line 1093: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1094: me: X, them: B me: Rock, them: Paper value: 1
line 1095: me: Y, them: A me: Paper, them: Rock value: 8
line 1096: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1097: me: X, them: C me: Rock, them: Scissors value: 7
line 1098: me: Y, them: B me: Paper, them: Paper value: 5
line 1099: me: X, them: B me: Rock, them: Paper value: 1
line 1100: me: Y, them: A me: Paper, them: Rock value: 8
line 1101: me: X, them: C me: Rock, them: Scissors value: 7
line 1102: me: Z, them: A me: Scissors, them: Rock value: 3
line 1103: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1104: me: X, them: C me: Rock, them: Scissors value: 7
line 1105: me: X, them: C me: Rock, them: Scissors value: 7
line 1106: me: Y, them: A me: Paper, them: Rock value: 8
line 1107: me: Y, them: B me: Paper, them: Paper value: 5
line 1108: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1109: me: Z, them: B me: Scissors, them: Paper value: 9
line 1110: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1111: me: X, them: C me: Rock, them: Scissors value: 7
line 1112: me: Y, them: B me: Paper, them: Paper value: 5
line 1113: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1114: me: X, them: C me: Rock, them: Scissors value: 7
line 1115: me: Y, them: A me: Paper, them: Rock value: 8
line 1116: me: X, them: C me: Rock, them: Scissors value: 7
line 1117: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1118: me: X, them: C me: Rock, them: Scissors value: 7
line 1119: me: X, them: C me: Rock, them: Scissors value: 7
line 1120: me: X, them: B me: Rock, them: Paper value: 1
line 1121: me: X, them: C me: Rock, them: Scissors value: 7
line 1122: me: Y, them: B me: Paper, them: Paper value: 5
line 1123: me: X, them: C me: Rock, them: Scissors value: 7
line 1124: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1125: me: X, them: C me: Rock, them: Scissors value: 7
line 1126: me: X, them: B me: Rock, them: Paper value: 1
line 1127: me: X, them: B me: Rock, them: Paper value: 1
line 1128: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1129: me: Y, them: A me: Paper, them: Rock value: 8
line 1130: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1131: me: Y, them: C me: Paper, them: Scissors value: 2
line 1132: me: X, them: B me: Rock, them: Paper value: 1
line 1133: me: Z, them: A me: Scissors, them: Rock value: 3
line 1134: me: X, them: C me: Rock, them: Scissors value: 7
line 1135: me: Z, them: A me: Scissors, them: Rock value: 3
line 1136: me: Z, them: B me: Scissors, them: Paper value: 9
line 1137: me: Y, them: A me: Paper, them: Rock value: 8
line 1138: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1139: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1140: me: Z, them: A me: Scissors, them: Rock value: 3
line 1141: me: Z, them: B me: Scissors, them: Paper value: 9
line 1142: me: Z, them: A me: Scissors, them: Rock value: 3
line 1143: me: X, them: C me: Rock, them: Scissors value: 7
line 1144: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1145: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1146: me: Z, them: A me: Scissors, them: Rock value: 3
line 1147: me: Y, them: A me: Paper, them: Rock value: 8
line 1148: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1149: me: X, them: C me: Rock, them: Scissors value: 7
line 1150: me: Y, them: A me: Paper, them: Rock value: 8
line 1151: me: Y, them: B me: Paper, them: Paper value: 5
line 1152: me: X, them: B me: Rock, them: Paper value: 1
line 1153: me: Z, them: A me: Scissors, them: Rock value: 3
line 1154: me: Y, them: A me: Paper, them: Rock value: 8
line 1155: me: X, them: C me: Rock, them: Scissors value: 7
line 1156: me: X, them: B me: Rock, them: Paper value: 1
line 1157: me: Y, them: A me: Paper, them: Rock value: 8
line 1158: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1159: me: Y, them: B me: Paper, them: Paper value: 5
line 1160: me: X, them: C me: Rock, them: Scissors value: 7
line 1161: me: X, them: C me: Rock, them: Scissors value: 7
line 1162: me: X, them: C me: Rock, them: Scissors value: 7
line 1163: me: X, them: B me: Rock, them: Paper value: 1
line 1164: me: Z, them: A me: Scissors, them: Rock value: 3
line 1165: me: Y, them: B me: Paper, them: Paper value: 5
line 1166: me: Y, them: B me: Paper, them: Paper value: 5
line 1167: me: Z, them: A me: Scissors, them: Rock value: 3
line 1168: me: X, them: C me: Rock, them: Scissors value: 7
line 1169: me: X, them: B me: Rock, them: Paper value: 1
line 1170: me: X, them: B me: Rock, them: Paper value: 1
line 1171: me: Y, them: A me: Paper, them: Rock value: 8
line 1172: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1173: me: X, them: C me: Rock, them: Scissors value: 7
line 1174: me: X, them: C me: Rock, them: Scissors value: 7
line 1175: me: Y, them: A me: Paper, them: Rock value: 8
line 1176: me: X, them: C me: Rock, them: Scissors value: 7
line 1177: me: X, them: C me: Rock, them: Scissors value: 7
line 1178: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1179: me: X, them: C me: Rock, them: Scissors value: 7
line 1180: me: Y, them: A me: Paper, them: Rock value: 8
line 1181: me: Y, them: B me: Paper, them: Paper value: 5
line 1182: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1183: me: Z, them: A me: Scissors, them: Rock value: 3
line 1184: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1185: me: Z, them: A me: Scissors, them: Rock value: 3
line 1186: me: Z, them: A me: Scissors, them: Rock value: 3
line 1187: me: Y, them: A me: Paper, them: Rock value: 8
line 1188: me: X, them: C me: Rock, them: Scissors value: 7
line 1189: me: X, them: C me: Rock, them: Scissors value: 7
line 1190: me: X, them: C me: Rock, them: Scissors value: 7
line 1191: me: Y, them: A me: Paper, them: Rock value: 8
line 1192: me: Y, them: A me: Paper, them: Rock value: 8
line 1193: me: Y, them: B me: Paper, them: Paper value: 5
line 1194: me: Z, them: B me: Scissors, them: Paper value: 9
line 1195: me: Z, them: A me: Scissors, them: Rock value: 3
line 1196: me: X, them: C me: Rock, them: Scissors value: 7
line 1197: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1198: me: X, them: C me: Rock, them: Scissors value: 7
line 1199: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1200: me: X, them: B me: Rock, them: Paper value: 1
line 1201: me: X, them: C me: Rock, them: Scissors value: 7
line 1202: me: X, them: C me: Rock, them: Scissors value: 7
line 1203: me: X, them: B me: Rock, them: Paper value: 1
line 1204: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1205: me: X, them: C me: Rock, them: Scissors value: 7
line 1206: me: Y, them: B me: Paper, them: Paper value: 5
line 1207: me: X, them: B me: Rock, them: Paper value: 1
line 1208: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1209: me: Z, them: A me: Scissors, them: Rock value: 3
line 1210: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1211: me: Y, them: B me: Paper, them: Paper value: 5
line 1212: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1213: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1214: me: X, them: B me: Rock, them: Paper value: 1
line 1215: me: Y, them: A me: Paper, them: Rock value: 8
line 1216: me: Y, them: B me: Paper, them: Paper value: 5
line 1217: me: Z, them: A me: Scissors, them: Rock value: 3
line 1218: me: Y, them: B me: Paper, them: Paper value: 5
line 1219: me: X, them: C me: Rock, them: Scissors value: 7
line 1220: me: X, them: C me: Rock, them: Scissors value: 7
line 1221: me: Z, them: A me: Scissors, them: Rock value: 3
line 1222: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1223: me: X, them: C me: Rock, them: Scissors value: 7
line 1224: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1225: me: X, them: C me: Rock, them: Scissors value: 7
line 1226: me: Z, them: A me: Scissors, them: Rock value: 3
line 1227: me: X, them: C me: Rock, them: Scissors value: 7
line 1228: me: Z, them: A me: Scissors, them: Rock value: 3
line 1229: me: X, them: C me: Rock, them: Scissors value: 7
line 1230: me: Y, them: A me: Paper, them: Rock value: 8
line 1231: me: Z, them: A me: Scissors, them: Rock value: 3
line 1232: me: X, them: C me: Rock, them: Scissors value: 7
line 1233: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1234: me: Y, them: B me: Paper, them: Paper value: 5
line 1235: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1236: me: Z, them: A me: Scissors, them: Rock value: 3
line 1237: me: Y, them: C me: Paper, them: Scissors value: 2
line 1238: me: Z, them: B me: Scissors, them: Paper value: 9
line 1239: me: Y, them: B me: Paper, them: Paper value: 5
line 1240: me: Z, them: A me: Scissors, them: Rock value: 3
line 1241: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1242: me: X, them: A me: Rock, them: Rock value: 4
line 1243: me: Z, them: A me: Scissors, them: Rock value: 3
line 1244: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1245: me: X, them: C me: Rock, them: Scissors value: 7
line 1246: me: X, them: C me: Rock, them: Scissors value: 7
line 1247: me: Y, them: A me: Paper, them: Rock value: 8
line 1248: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1249: me: X, them: C me: Rock, them: Scissors value: 7
line 1250: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1251: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1252: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1253: me: Y, them: B me: Paper, them: Paper value: 5
line 1254: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1255: me: X, them: C me: Rock, them: Scissors value: 7
line 1256: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1257: me: Y, them: B me: Paper, them: Paper value: 5
line 1258: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1259: me: Y, them: B me: Paper, them: Paper value: 5
line 1260: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1261: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1262: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1263: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1264: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1265: me: Y, them: B me: Paper, them: Paper value: 5
line 1266: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1267: me: Y, them: B me: Paper, them: Paper value: 5
line 1268: me: Y, them: A me: Paper, them: Rock value: 8
line 1269: me: X, them: C me: Rock, them: Scissors value: 7
line 1270: me: Y, them: B me: Paper, them: Paper value: 5
line 1271: me: Y, them: A me: Paper, them: Rock value: 8
line 1272: me: X, them: C me: Rock, them: Scissors value: 7
line 1273: me: Z, them: A me: Scissors, them: Rock value: 3
line 1274: me: Y, them: A me: Paper, them: Rock value: 8
line 1275: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1276: me: Y, them: B me: Paper, them: Paper value: 5
line 1277: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1278: me: X, them: C me: Rock, them: Scissors value: 7
line 1279: me: Y, them: A me: Paper, them: Rock value: 8
line 1280: me: Y, them: B me: Paper, them: Paper value: 5
line 1281: me: X, them: C me: Rock, them: Scissors value: 7
line 1282: me: X, them: C me: Rock, them: Scissors value: 7
line 1283: me: X, them: C me: Rock, them: Scissors value: 7
line 1284: me: Y, them: A me: Paper, them: Rock value: 8
line 1285: me: Z, them: A me: Scissors, them: Rock value: 3
line 1286: me: X, them: B me: Rock, them: Paper value: 1
line 1287: me: X, them: B me: Rock, them: Paper value: 1
line 1288: me: X, them: B me: Rock, them: Paper value: 1
line 1289: me: Y, them: B me: Paper, them: Paper value: 5
line 1290: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1291: me: Y, them: B me: Paper, them: Paper value: 5
line 1292: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1293: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1294: me: Y, them: B me: Paper, them: Paper value: 5
line 1295: me: X, them: A me: Rock, them: Rock value: 4
line 1296: me: X, them: C me: Rock, them: Scissors value: 7
line 1297: me: Y, them: A me: Paper, them: Rock value: 8
line 1298: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1299: me: Y, them: B me: Paper, them: Paper value: 5
line 1300: me: Y, them: B me: Paper, them: Paper value: 5
line 1301: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1302: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1303: me: X, them: C me: Rock, them: Scissors value: 7
line 1304: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1305: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1306: me: Y, them: B me: Paper, them: Paper value: 5
line 1307: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1308: me: X, them: C me: Rock, them: Scissors value: 7
line 1309: me: Y, them: A me: Paper, them: Rock value: 8
line 1310: me: Z, them: A me: Scissors, them: Rock value: 3
line 1311: me: X, them: C me: Rock, them: Scissors value: 7
line 1312: me: Z, them: B me: Scissors, them: Paper value: 9
line 1313: me: X, them: C me: Rock, them: Scissors value: 7
line 1314: me: Y, them: B me: Paper, them: Paper value: 5
line 1315: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1316: me: X, them: C me: Rock, them: Scissors value: 7
line 1317: me: Y, them: A me: Paper, them: Rock value: 8
line 1318: me: Z, them: A me: Scissors, them: Rock value: 3
line 1319: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1320: me: X, them: C me: Rock, them: Scissors value: 7
line 1321: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1322: me: X, them: C me: Rock, them: Scissors value: 7
line 1323: me: X, them: C me: Rock, them: Scissors value: 7
line 1324: me: X, them: C me: Rock, them: Scissors value: 7
line 1325: me: X, them: C me: Rock, them: Scissors value: 7
line 1326: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1327: me: X, them: C me: Rock, them: Scissors value: 7
line 1328: me: Y, them: B me: Paper, them: Paper value: 5
line 1329: me: Y, them: A me: Paper, them: Rock value: 8
line 1330: me: X, them: C me: Rock, them: Scissors value: 7
line 1331: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1332: me: Z, them: A me: Scissors, them: Rock value: 3
line 1333: me: Y, them: B me: Paper, them: Paper value: 5
line 1334: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1335: me: X, them: C me: Rock, them: Scissors value: 7
line 1336: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1337: me: Y, them: B me: Paper, them: Paper value: 5
line 1338: me: Z, them: A me: Scissors, them: Rock value: 3
line 1339: me: Y, them: A me: Paper, them: Rock value: 8
line 1340: me: Y, them: A me: Paper, them: Rock value: 8
line 1341: me: Y, them: B me: Paper, them: Paper value: 5
line 1342: me: Y, them: B me: Paper, them: Paper value: 5
line 1343: me: Z, them: A me: Scissors, them: Rock value: 3
line 1344: me: X, them: B me: Rock, them: Paper value: 1
line 1345: me: Y, them: A me: Paper, them: Rock value: 8
line 1346: me: X, them: C me: Rock, them: Scissors value: 7
line 1347: me: X, them: C me: Rock, them: Scissors value: 7
line 1348: me: Y, them: A me: Paper, them: Rock value: 8
line 1349: me: X, them: C me: Rock, them: Scissors value: 7
line 1350: me: Y, them: A me: Paper, them: Rock value: 8
line 1351: me: Y, them: B me: Paper, them: Paper value: 5
line 1352: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1353: me: X, them: A me: Rock, them: Rock value: 4
line 1354: me: X, them: B me: Rock, them: Paper value: 1
line 1355: me: Y, them: A me: Paper, them: Rock value: 8
line 1356: me: Z, them: A me: Scissors, them: Rock value: 3
line 1357: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1358: me: X, them: B me: Rock, them: Paper value: 1
line 1359: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1360: me: Y, them: B me: Paper, them: Paper value: 5
line 1361: me: X, them: C me: Rock, them: Scissors value: 7
line 1362: me: Y, them: B me: Paper, them: Paper value: 5
line 1363: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1364: me: Z, them: A me: Scissors, them: Rock value: 3
line 1365: me: Y, them: A me: Paper, them: Rock value: 8
line 1366: me: X, them: C me: Rock, them: Scissors value: 7
line 1367: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1368: me: X, them: B me: Rock, them: Paper value: 1
line 1369: me: Y, them: B me: Paper, them: Paper value: 5
line 1370: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1371: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1372: me: Z, them: A me: Scissors, them: Rock value: 3
line 1373: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1374: me: Z, them: B me: Scissors, them: Paper value: 9
line 1375: me: X, them: C me: Rock, them: Scissors value: 7
line 1376: me: X, them: C me: Rock, them: Scissors value: 7
line 1377: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1378: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1379: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1380: me: X, them: C me: Rock, them: Scissors value: 7
line 1381: me: X, them: C me: Rock, them: Scissors value: 7
line 1382: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1383: me: Y, them: B me: Paper, them: Paper value: 5
line 1384: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1385: me: Z, them: B me: Scissors, them: Paper value: 9
line 1386: me: X, them: C me: Rock, them: Scissors value: 7
line 1387: me: Y, them: A me: Paper, them: Rock value: 8
line 1388: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1389: me: Y, them: B me: Paper, them: Paper value: 5
line 1390: me: X, them: C me: Rock, them: Scissors value: 7
line 1391: me: Y, them: A me: Paper, them: Rock value: 8
line 1392: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1393: me: X, them: B me: Rock, them: Paper value: 1
line 1394: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1395: me: Z, them: A me: Scissors, them: Rock value: 3
line 1396: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1397: me: X, them: C me: Rock, them: Scissors value: 7
line 1398: me: Y, them: A me: Paper, them: Rock value: 8
line 1399: me: Y, them: A me: Paper, them: Rock value: 8
line 1400: me: Y, them: A me: Paper, them: Rock value: 8
line 1401: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1402: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1403: me: Y, them: A me: Paper, them: Rock value: 8
line 1404: me: X, them: A me: Rock, them: Rock value: 4
line 1405: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1406: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1407: me: X, them: C me: Rock, them: Scissors value: 7
line 1408: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1409: me: Z, them: A me: Scissors, them: Rock value: 3
line 1410: me: Z, them: A me: Scissors, them: Rock value: 3
line 1411: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1412: me: X, them: C me: Rock, them: Scissors value: 7
line 1413: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1414: me: Y, them: B me: Paper, them: Paper value: 5
line 1415: me: Y, them: A me: Paper, them: Rock value: 8
line 1416: me: Z, them: B me: Scissors, them: Paper value: 9
line 1417: me: Y, them: B me: Paper, them: Paper value: 5
line 1418: me: X, them: C me: Rock, them: Scissors value: 7
line 1419: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1420: me: X, them: C me: Rock, them: Scissors value: 7
line 1421: me: X, them: B me: Rock, them: Paper value: 1
line 1422: me: Y, them: B me: Paper, them: Paper value: 5
line 1423: me: X, them: C me: Rock, them: Scissors value: 7
line 1424: me: X, them: C me: Rock, them: Scissors value: 7
line 1425: me: X, them: C me: Rock, them: Scissors value: 7
line 1426: me: Z, them: A me: Scissors, them: Rock value: 3
line 1427: me: Y, them: A me: Paper, them: Rock value: 8
line 1428: me: X, them: C me: Rock, them: Scissors value: 7
line 1429: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1430: me: X, them: C me: Rock, them: Scissors value: 7
line 1431: me: Y, them: B me: Paper, them: Paper value: 5
line 1432: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1433: me: X, them: B me: Rock, them: Paper value: 1
line 1434: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1435: me: Y, them: B me: Paper, them: Paper value: 5
line 1436: me: Z, them: A me: Scissors, them: Rock value: 3
line 1437: me: X, them: C me: Rock, them: Scissors value: 7
line 1438: me: Y, them: B me: Paper, them: Paper value: 5
line 1439: me: X, them: C me: Rock, them: Scissors value: 7
line 1440: me: X, them: B me: Rock, them: Paper value: 1
line 1441: me: Z, them: A me: Scissors, them: Rock value: 3
line 1442: me: X, them: C me: Rock, them: Scissors value: 7
line 1443: me: Y, them: B me: Paper, them: Paper value: 5
line 1444: me: Y, them: A me: Paper, them: Rock value: 8
line 1445: me: Z, them: C me: Scissors, them: Scissors value: 6
line 1446: me: X, them: C me: Rock, them: Scissors value: 7
